Date,Price
2022-11-01,100.00
2022-12-01,103.10
2023-01-01,136.25
2023-02-01,138.51
2023-03-01,132.53
2023-04-01,127.50
2023-05-01,134.24
2023-06-01,124.99
2023-07-01,133.12
2023-08-01,110.39
2023-09-01,112.50
2023-10-01,107.48
2023-11-01,103.24
2023-12-01,109.88
2024-01-01,131.23
2024-02-01,117.05
2024-03-01,120.50
2024-04-01,132.00
2024-05-01,163.90
2024-06-01,137.50
2024-07-01,143.50
2024-08-01,149.95
2024-09-01,160.00
2024-10-01,144.89
2024-11-01,153.75
2024-12-01,178.50
2025-01-01,231.91
2025-02-01,234.25
2025-03-01,265.00
2025-04-01,262.17
